CBG10375.1	708,987	795,1032
CBG17372b.1	5287737,5287889,5288275,5288811,5288980,5289135,5289318,5289408,5290046,5290259,5290482,5290656,5291324	5287781,5288121,5288580,5288861,5289030,5289182,5289360,5289903,5290094,5290407,5290523,5291143,5291372
CBG17375.1	5303087,5303202,5303350,5304216	5303133,5303250,5303458,5304685
CBG17376a.1	5307079,5307537,5307741	5307131,5307590,5307936
CBG17376b.1	5307079,5307537	5307131,5307590
CBG17377.1	5312549,5313038,5313550,5314518	5312917,5313466,5314408,5314899
CBG17378a.1	5315477,5316615,5316794,5316992,5317134,5318133,5318303,5318600,5318793,5319734,5319910,5320743,5321078,5321303	5316336,5316665,5316839,5317037,5317990,5318180,5318355,5318646,5319528,5319778,5320615,5320793,5321124,5321343
CBG17378b.1	5315477,5316615,5316794,5316992,5317134,5318133,5318303,5318600,5318793,5319734,5319910,5320743,5320896,5321078,5321303	5316336,5316665,5316839,5317037,5317990,5318180,5318355,5318646,5319528,5319778,5320615,5320793,5320958,5321124,5321343
CBG17378c.1	5318133,5318303,5318600,5318793,5319734,5319910,5320743,5320896,5321078,5321303	5318180,5318355,5318646,5319528,5319778,5320615,5320793,5320958,5321124,5321343
CBG17380.1	5324658,5324966	5324711,5325014
CBG17382.1	5331208,5331611,5331769,5331925,5332096,5332384,5332625,5332820,5333101,5333459,5333626,5333754,5333927	5331255,5331652,5331819,5331968,5332237,5332425,5332670,5332871,5333342,5333504,5333666,5333798,5334230
CBG17384a.1	5337450,5337718,5337909,5338911,5339069,5339274,5339393	5337498,5337768,5337952,5338954,5339112,5339320,5339802
CBG17384b.1	5337450,5337718,5337909,5338911,5339069,5339274,5339393	5337498,5337768,5337952,5338954,5339112,5339320,5342210
CBG17385.1	5346138,5346298,5346624,5347763,5347894,5348057,5349661,5350414,5350563,5350898,5351130,5351371,5351549,5351740,5352699	5346181,5346410,5347652,5347810,5347944,5348116,5350301,5350462,5350615,5350966,5351176,5351417,5351600,5352576,5352784
CBG17386.1	5349661,5350414,5350563,5350898,5351130,5351371,5351549,5351740,5352699	5350301,5350462,5350615,5350966,5351176,5351417,5351600,5352576,5352784
CBG17387.1	5357386,5357900,5358055,5358265,5358477,5358586	5357752,5357946,5358135,5358311,5358525,5359337
CBG17392a.1	5382263,5382852,5385497,5385661,5386884,5387042,5388492,5388679,5389313,5389537,5389667,5390058,5390264,5390390	5382441,5385377,5385600,5385716,5386930,5387402,5388540,5388724,5389360,5389588,5389711,5390104,5390308,5390439
CBG17392b.1	5382263,5382852,5385497,5385661,5386884,5387042,5388492,5388679,5389537,5389667,5390058,5390264,5390390	5382441,5385377,5385600,5385716,5386930,5387402,5388540,5388724,5389588,5389711,5390104,5390308,5390439
CBG17392c.1	5378249,5382852,5385497,5385661,5386884,5387042,5388492,5388679,5389313,5389537,5389667,5390058,5390264,5390390	5382441,5385377,5385600,5385716,5386930,5387402,5388540,5388724,5389360,5389588,5389711,5390104,5390308,5390439
CBG17395.1	5398681,5398926,5402783,5403593,5403753,5404501,5404915,5405437,5405639,5405971	5398727,5400085,5403211,5403639,5403798,5404556,5405274,5405487,5405687,5406719
CBG17397.1	5407760,5408408,5409179,5409358,5409797,5410642	5408309,5408913,5409220,5409403,5410563,5410686
CBG17398.1	5411456,5411719,5412876,5413065,5413226,5413365,5414038,5414288,5414636	5411502,5412755,5412926,5413109,5413272,5413931,5414081,5414533,5415714
CBG17399.1	5418178,5418773,5419007,5419175,5419309	5418232,5418820,5419054,5419225,5419793
CBG17400.1	5420333,5420483,5420638,5421094,5421239,5421447,5422727,5424757,5425766,5425920,5426108,5426257	5420377,5420530,5420957,5421140,5421282,5422584,5424009,5425666,5425814,5425970,5426158,5426318
CBG17401.1	5424441	5424688
CBG17402.1	5427164	5427210
CBG17403.1	5429594	5429643
CBG17404a.1	5434298,5434474,5434714,5434909,5435488,5436449,5436724,5437556,5438155,5438523,5439506	5434340,5434516,5434760,5435154,5436280,5436555,5436772,5437842,5438201,5439200,5439555
CBG17404b.1	5434298,5434474,5434714,5434909,5436449,5436724,5437556,5438155,5438523,5439506	5434340,5434516,5434760,5436280,5436555,5436772,5437842,5438201,5439200,5439555
CBG17405a.1	5443326,5443438,5443870,5443983,5444137,5444258,5444514,5444643,5444832,5459648,5460356,5461465,5461698,5464706,5465042,5465961,5466138,5466324,5466572,5466765,5468635,5468743,5468912,5469071,5469294,5470326,5470611,5470804,5471186,5471567,5471694,5471929,5472804,5473178,5473618,5473783	5443373,5443802,5443917,5444033,5444186,5444311,5444563,5444725,5459575,5460217,5461290,5461520,5464540,5464876,5465848,5466011,5466187,5466481,5466616,5468362,5468684,5468793,5468959,5469116,5470222,5470372,5470655,5471090,5471347,5471624,5471737,5472715,5472849,5473392,5473661,5473828
CBG17405b.1	5443326,5443438,5443870,5443983,5444137,5444258,5444514,5444643,5444832,5459648,5460356,5461465,5461698,5464706,5465042,5465961,5466138,5466261,5466572,5466765,5468635,5468743,5468912,5469071,5469294,5470326,5470611,5470804,5471186,5471567,5471694,5471929,5472804,5473178,5473618,5473783	5443373,5443802,5443917,5444033,5444186,5444311,5444563,5444725,5459575,5460217,5461290,5461520,5464540,5464876,5465848,5466011,5466187,5466481,5466616,5468362,5468684,5468793,5468959,5469116,5470222,5470372,5470655,5471090,5471347,5471624,5471737,5472715,5472849,5473392,5473661,5473828
CBG17406.1	5445122,5445311,5445462,5445859,5446059,5446657	5445168,5445357,5445509,5445904,5446538,5446702
CBG17407.1	5453830,5454164,5454271,5454500,5454700,5454971,5455708	5453997,5454215,5454437,5454554,5454745,5455596,5455758
CBG17409.1	5474591,5475617,5475850,5475990,5476177,5477846,5477981,5478105,5478745,5478905	5475442,5475665,5475892,5476040,5477749,5477905,5478032,5478492,5478790,5478959
CBG17415.1	5506338,5506470,5506568	5506386,5506515,5507454
CBG17417.1	5523628,5523730	5523672,5523775
CBG17418.1	5524201,5524432,5525647,5525845,5526867,5527051,5527745,5528050,5528296,5530549,5531976,5533052,5536037,5536151,5536358	5524371,5525615,5525648,5526630,5526911,5527564,5527790,5528097,5528708,5530593,5532017,5533681,5536081,5536303,5537528
CBG17420.1	5540297,5540476	5540346,5540660
CBG17421.1	5541924,5542129	5541969,5543342
CBG17430.1	5591665,5591834,5592066,5593033,5594468	5591709,5591881,5592986,5594289,5594517
CBG17431.1	5596578,5596802,5596903,5599006,5602458	5596630,5596846,5598827,5601928,5602556
CBG17431.2	5596578,5596802,5596903,5599006	5596630,5596846,5598827,5601928
CBG17432.1	5603989	5604232
CBG17433.1	5604852,5605532,5605842,5606123,5606556,5606942,5608014,5608718,5609097,5609828,5610244,5610523,5611590,5611753	5605471,5605584,5605986,5606267,5606605,5607638,5608070,5608759,5609720,5610003,5610320,5611433,5611633,5612444
CBG17434.1	5617191,5618876,5619183	5618806,5619062,5619239
CBG17438.1	5629777,5629940	5629822,5630230
CBG17441.1	5637875,5637991,5638167	5637915,5638034,5639057
CBG17445.1	5654808,5655500,5658740,5660820,5660949,5661158,5661812,5662021,5662176	5655390,5657926,5660557,5660865,5660995,5661646,5661863,5662064,5662225
CBG17445.2	5654808,5655500,5658474,5658618,5658740,5660820,5660949,5661158,5661812,5662021,5662176	5655390,5657926,5658521,5658661,5660557,5660865,5660995,5661646,5661863,5662064,5662225
CBG17447.1	5651942,5652110,5652315,5652400,5658474,5658618,5658740,5660820,5660949,5661158,5661812,5661872,5662021,5662176	5651985,5652154,5652360,5658366,5658521,5658661,5660557,5660865,5660995,5661646,5661863,5661873,5662064,5662225
CBG17448.1	5664816,5664988	5664863,5665033
CBG17449.1	5666137,5666391,5667464,5668225,5668389,5669746,5669914	5666244,5667287,5668136,5668272,5669572,5669846,5669960
CBG17497a.1	5672123,5674358,5678812,5678994,5679385,5679512,5679949,5680323,5680821,5681020,5681202,5681699,5682392,5682528	5674290,5678709,5678935,5679304,5679429,5679819,5680001,5680647,5680873,5681065,5681598,5682197,5682439,5682571
CBG17497b.1	5673816,5674358,5678812,5678994,5679385,5679512,5679949,5680323,5680821,5681020,5681202,5681699,5682392,5682528	5674290,5678709,5678935,5679304,5679429,5679819,5680001,5680647,5680873,5681065,5681598,5682197,5682439,5682571
CBG17497c.1	5676822,5678812,5678994,5679385,5679512,5679949,5680323,5680821,5681020,5681202,5681699,5682392,5682528	5678709,5678935,5679304,5679429,5679819,5680001,5680647,5680873,5681065,5681598,5682197,5682439,5682571
CBG17498.1	5684299,5684524,5684837,5685012	5684339,5684568,5684888,5685058
CBG17499.1	5686662,5686852,5687426	5686706,5687268,5687479
CBG17501.1	5691782,5691967,5692138,5693507,5693747	5691829,5692017,5692728,5693552,5693791
CBG17503.1	5698618,5698782	5698660,5698829
CBG17504.1	5699329,5699584,5700657,5701418,5701582,5702939,5703107	5699436,5700480,5701329,5701465,5702765,5703039,5703153
CBG17505.1	5705484,5705695,5705913,5706073,5706184,5706749,5707115,5707343,5707927,5708323,5708451,5708726	5705524,5705748,5705956,5706129,5706659,5706930,5707189,5707798,5708045,5708366,5708645,5708777
CBG17506.1	5712111,5712492,5712953,5713160	5712164,5712546,5713021,5713207
CBG17507.1	5714484,5715057,5715372,5715636	5714531,5715104,5715416,5715676
CBG17508.1	5716985,5717170,5717508,5717724,5717967	5717035,5717370,5717561,5717791,5718221
CBG17509.1	5718977,5719174,5719390,5720000,5720232,5720694	5719027,5719218,5719447,5720054,5720278,5720740
CBG17510.1	5721976,5722141,5722334,5722586,5723297,5723439,5723788,5724166,5724474	5722023,5722183,5722379,5722804,5723347,5723484,5724035,5724327,5724526
CBG17511.1	5729341,5729528,5730120,5730293	5729385,5730027,5730167,5730341
CBG17512.1	5736373,5736721,5736839,5737054,5738153,5738383	5736517,5736768,5736882,5737976,5738205,5738435
CBG17513.1	5740277,5741013,5741980,5742116,5742527,5743538,5743820	5740321,5741743,5742027,5742385,5743232,5743586,5743914
CBG17516a.1	5762695,5762840,5763469,5763959,5764130,5764584,5764879,5765072,5765123,5765728,5766187,5766660,5766812,5767017,5767466,5767749,5768400,5768549,5769643,5769776	5762752,5763383,5763802,5764011,5764198,5764794,5764926,5765073,5765436,5766110,5766237,5766703,5766854,5767225,5767515,5768051,5768478,5769480,5769713,5769822
CBG17516b.1	5762695,5762840,5763469,5763959,5764130,5764584,5764879,5765072,5765123,5765728,5766187,5766660,5766812,5767017,5767466,5767749,5768030,5768549,5769643,5769776	5762752,5763383,5763802,5764011,5764198,5764794,5764926,5765073,5765436,5766110,5766237,5766703,5766854,5767225,5767515,5767828,5768478,5769480,5769713,5769822
CBG17516c.1	5762695,5762840,5763469,5763959,5764584,5764879,5765072,5765123,5765728,5766187,5766660,5766812,5767017,5767466,5767749,5768400,5768549,5769643,5769776	5762752,5763383,5763802,5764011,5764794,5764926,5765073,5765436,5766110,5766237,5766703,5766854,5767225,5767515,5768051,5768478,5769480,5769713,5769822
CBG17516d.1	5763469,5763959,5764130,5764584,5764879,5765072,5765123,5765728,5766187,5766660,5766812,5767017,5767466,5767749,5768030,5768549,5769643,5769776	5763927,5764011,5764198,5764794,5764926,5765073,5765436,5766110,5766237,5766703,5766854,5767225,5767515,5767828,5768478,5769480,5769713,5769822
CBG17516e.1	5763469,5763959,5764130,5764584,5764879,5765072,5765123,5765728,5766187,5766660,5766812,5767017,5767466,5767749,5768400,5768549,5769643,5769776	5763927,5764011,5764198,5764794,5764926,5765073,5765436,5766110,5766237,5766703,5766854,5767225,5767515,5768051,5768478,5769480,5769713,5769822
CBG17517.1	5771870,5772014,5772722,5772847,5773003,5773182,5773248,5773348	5771913,5772525,5772768,5772895,5773058,5773228,5773249,5773894
CBG17518.1	5776793,5776910,5777055,5777748	5776841,5776960,5777647,5779039
CBG17519.1	5779775,5780590	5780458,5780766
CBG17520.1	5781178,5781392,5781570,5781788,5781946,5782640,5782880,5783081,5783397,5783542,5783664,5784341	5781233,5781482,5781680,5781829,5782547,5782722,5782924,5783128,5783440,5783589,5784282,5784385
CBG17526.1	5805527,5805761,5805947,5806050,5806496,5807017,5807192,5807372	5805573,5805805,5805998,5806366,5806539,5807065,5807242,5807431
CBG17526.2	5805527,5805761,5805947,5806050,5807017,5807192,5807372	5805573,5805805,5805998,5806366,5807065,5807242,5807431
CBG17526.3	5805527,5805761,5805947,5806050,5806496,5806636,5807017,5807192,5807372	5805573,5805805,5805998,5806366,5806539,5806683,5807065,5807242,5807431
CBG17526.4	5805527	5805573
CBG17527.1	5810161	5810204
CBG17529a.1	5814829,5815508,5815683,5815786,5815937,5816173,5816341	5815330,5815556,5815734,5815840,5815983,5816220,5816403
CBG17529b.1	5814829,5815049,5815508,5815683,5815786,5815937,5816173,5816341	5814959,5815330,5815556,5815734,5815840,5815983,5816220,5816403
CBG17530.1	5818775,5819348,5819649	5818843,5819390,5819703
CBG17531.1	5826950,5827482,5828146,5828331,5829212,5829350	5827318,5827528,5828194,5829123,5829288,5829396
CBG17532.1	5830118,5830657,5830825,5831129	5830566,5830699,5830968,5831175
CBG17534.1	5835952,5836289,5837111,5837379,5837535,5837814,5838519	5836034,5836729,5837161,5837424,5837585,5838412,5838583
CBG17535.1	5839883,5843128,5843429,5844307,5844736,5845041,5845147,5847059,5847198,5847359,5848237,5848666,5848971,5849127,5849405,5849717	5842701,5843174,5843817,5844354,5844787,5845086,5846632,5847105,5847199,5847747,5848284,5848717,5849016,5849176,5849610,5849786
CBG17536.1	5851462,5851637,5852071,5852192,5852230,5852562,5852995,5853532,5854175,5854574,5855367,5855795,5855919	5851530,5851842,5852120,5852193,5852275,5852613,5853042,5853920,5854221,5854622,5855421,5855842,5856232
CBG17537.1	5860612,5860808,5860993,5861192,5861353,5861524,5861972,5862193,5862823,5863092,5863307,5863760,5865064,5865266,5865426,5865915,5866330,5866558,5866912,5867242	5860652,5860848,5861045,5861237,5861398,5861568,5862033,5862672,5862882,5863139,5863354,5864699,5865147,5865319,5865660,5866182,5866379,5866681,5866965,5867938
CBG17538.1	5868321,5868430,5868565	5868375,5868480,5868605
CBG17539.1	5870055,5870235,5870365,5871452,5871666,5872192,5872710,5873513,5873692,5874347,5874469	5870106,5870277,5871299,5871496,5871717,5872577,5873353,5873560,5874168,5874406,5874525
CBG17540.1	5872956	5873007
CBG17542.1	5880119,5880212,5880916,5881093,5881249,5881489,5881907,5882717,5884457	5880161,5880703,5881005,5881136,5881293,5881556,5882559,5884197,5884505
CBG17543.1	5884823,5884974,5885148,5885360,5886530,5886675	5884867,5885016,5885206,5886398,5886580,5886721
CBG17544.1	5887484	5887552
CBG17545.1	5888869,5889977,5890124,5890393,5890557,5890758,5890927,5891650,5891806,5892136,5892337,5892473,5894026	5889851,5890025,5890172,5890440,5890601,5890800,5891257,5891693,5891850,5892179,5892384,5893819,5894073
CBG17546.1	5897236,5897379	5897277,5897425
CBG17547.1	5900032,5900275,5901134,5901703,5901815,5903742,5903914,5904032	5900193,5901046,5901474,5901748,5902140,5903782,5903974,5904076
CBG17548a.1	5908756,5908901,5909596,5909942,5910211,5910346,5910503,5911416	5908813,5909439,5909852,5909985,5910257,5910391,5911271,5911464
CBG17548b.1	5908901,5909596,5909942,5910211,5910346,5910503,5911416	5909439,5909852,5909985,5910257,5910391,5911271,5911464
CBG17551.1	5922771,5929326,5930168,5931217	5929095,5929616,5930342,5931748
CBG17552.1	5934212,5934323,5934513,5934675,5934914,5935175,5935857	5934261,5934371,5934557,5934725,5934966,5935755,5936961
CBG17553.1	5941439,5941992,5942145,5942267,5942451	5941860,5942057,5942190,5942314,5943037
CBG17555.1	5951296	5952358
CBG17557a.1	5960793,5966407,5966549,5966701,5966826,5967656	5966278,5966454,5966590,5966745,5967578,5967700
CBG17557b.1	5960793,5966407,5966549,5966826,5967656	5966278,5966454,5966590,5967578,5967700
CBG17558.1	5968243,5968386,5969640	5968291,5969518,5969687
CBG17559.1	5974735,5974873,5975234,5976130,5977413	5974781,5975008,5975909,5977133,5977518
CBG17560.1	5979903,5980209,5980685,5980972,5981209,5981633,5981745,5981967	5979948,5980253,5980731,5981016,5981260,5981679,5981787,5982023
CBG17561.1	5982856,5983019,5983423,5983594,5983973,5984757	5982903,5983283,5983469,5983638,5984675,5984758
CBG17563.1	5987315,5987492	5987370,5987534
CBG17564.1	5987999,5988759	5988635,5988808
CBG17565.1	5990159,5990795,5990910	5990698,5990840,5990956
CBG17566.1	5993072,5993241,5995363	5993120,5995293,5995460
CBG17567.1	5996084,5996299,5996893	5996193,5996823,5996936
CBG17569.1	6004663,6004960,6005175,6005335,6005584,6005869,6005929,6006262,6006922,6007065,6007230,6007563,6007983,6008446,6009096,6009345	6004892,6005017,6005224,6005449,6005632,6005870,6005975,6006306,6006974,6007132,6007278,6007619,6008340,6008501,6009140,6009652
CBG17570.1	6010574,6010779,6010932,6011113,6011778,6011995,6012781,6012921,6013299,6014319,6014475,6014652,6015160,6015409,6015944	6010621,6010821,6010978,6011480,6011822,6012048,6012830,6012968,6013955,6014369,6014522,6014694,6015204,6015669,6015989
CBG17572.1	6022703,6022982	6022871,6023032
CBG17573.1	6028585,6028746	6028635,6028823
CBG17574.1	6031653,6031857,6032014,6032190,6032636,6033057,6033841,6033973,6034365,6035221,6035370,6035554,6036076,6036331,6036840	6031699,6031903,6032055,6032338,6032884,6033114,6033882,6034019,6034857,6035264,6035424,6035610,6036126,6036565,6036884
CBG17577.1	6053247,6054114,6054355,6054364	6054014,6054156,6054356,6055100
CBG17587a.1	6058224,6063131,6066574,6067053,6067931,6069036,6069223,6071578,6071862,6072699,6072927,6073396,6075127,6075277,6075683,6076549,6076958,6077098,6077292,6077484,6077663,6077862,6078291,6078542,6078734,6079770,6079892,6080062,6080666,6081298,6083861,6084638,6084991,6087008,6088196,6094457,6094935,6095334,6095518,6098033,6098270,6098439,6098634,6099049,6099875,6100658,6100898,6101039,6101662,6105268,6107175,6107459,6107618,6108139,6108342,6108718,6109480,6109853,6110232,6110521,6110745,6111454,6111523,6111705,6112705,6113350	6063080,6066469,6066934,6067878,6068947,6069119,6071406,6071709,6072604,6072744,6073224,6075037,6075171,6075526,6076433,6076881,6077005,6077143,6077340,6077485,6077709,6077919,6078349,6078587,6079558,6079814,6079893,6080322,6081110,6083712,6084299,6084912,6086835,6088066,6094175,6094724,6095041,6095391,6097796,6098086,6098315,6098440,6098969,6099608,6100443,6100757,6100944,6101540,6105039,6107063,6107220,6107511,6107912,6108188,6108411,6109206,6109520,6110134,6110283,6110657,6111342,6111455,6111576,6112565,6113203,6113831
CBG17587b.1	6058224,6063131,6066574,6067053,6067931,6069036,6069223,6071578,6071862,6072699,6072927,6073396,6075127,6075277,6075683,6076549,6076958,6077098,6077292,6077484,6077663,6077862,6078291,6078542,6078734,6079770,6079892,6080062,6080666,6081298,6083861,6084638,6084991,6087008,6088196,6094457,6094935,6095334,6095518,6098033,6098270,6098439,6098634,6099049,6099875,6100658,6100898,6101039,6101662,6105268,6107175,6107459,6107618,6108139,6108342,6108718,6109480,6109853,6110232,6110521,6110745,6111454,6111523,6111705,6112654,6113350	6063080,6066469,6066934,6067878,6068947,6069119,6071406,6071709,6072604,6072744,6073224,6075037,6075171,6075526,6076433,6076881,6077005,6077143,6077340,6077485,6077709,6077919,6078349,6078587,6079558,6079814,6079893,6080322,6081110,6083712,6084299,6084912,6086835,6088066,6094175,6094724,6095041,6095391,6097796,6098086,6098315,6098440,6098969,6099608,6100443,6100757,6100944,6101540,6105039,6107063,6107220,6107511,6107912,6108188,6108411,6109206,6109520,6110134,6110283,6110657,6111342,6111455,6111576,6112565,6113203,6113831
CBG17587c.1	6063131,6066574,6067053,6067931,6069036,6069223,6071578,6071862,6072699,6072927,6073396,6075127,6075277,6075683,6076549,6076958,6077098,6077292,6077484,6077663,6077862,6078291,6078542,6078734,6079770,6079892,6080062,6080666,6081298,6083861,6084638,6084991,6087008,6088196,6094457,6094935,6095334,6095518,6098033,6098270,6098439,6098634,6099049,6099875,6100658,6100898,6101039,6101662,6105268,6107175,6107459,6107618,6107693,6108139,6108342,6108718,6109480,6109853,6110232,6110521,6110745,6111454,6111523,6111705,6112705,6113350	6066469,6066934,6067878,6068947,6069119,6071406,6071709,6072604,6072744,6073224,6075037,6075171,6075526,6076433,6076881,6077005,6077143,6077340,6077485,6077709,6077919,6078349,6078587,6079558,6079814,6079893,6080322,6081110,6083712,6084299,6084912,6086835,6088066,6094175,6094724,6095041,6095391,6097796,6098086,6098315,6098440,6098969,6099608,6100443,6100757,6100944,6101540,6105039,6107063,6107220,6107511,6107665,6107912,6108188,6108411,6109206,6109520,6110134,6110283,6110657,6111342,6111455,6111576,6112565,6113203,6113831
CBG17589.1	6101879	6102125
CBG17590.1	6114864,6115777,6115970,6116277	6115714,6115895,6116016,6116933
CBG17592.1	6117475,6118041,6118247,6118452,6119190,6119387,6119523,6119791,6120794,6120962,6121093	6117930,6118143,6118293,6119082,6119241,6119430,6119574,6120564,6120850,6121006,6121138
CBG17593a.1	6121547,6122470,6123258,6123518,6123671,6123810,6123918,6124482	6122194,6123101,6123306,6123560,6123712,6123851,6124401,6124534
CBG17593b.1	6121547,6122147,6122470,6123258,6123518,6123671,6123810,6123918,6124482	6122124,6122194,6123101,6123306,6123560,6123712,6123851,6124401,6124534
CBG17594.1	6126648,6126838,6126976,6127359,6127458	6126706,6126883,6127239,6127407,6127966
CBG17595.1	6128704,6129354,6129652,6129804,6130471,6130893,6131615,6131942,6132187,6132461,6132617,6133310,6133517,6133693,6134024,6134296,6135824,6136087,6137134,6137447,6138116,6139385,6140093	6129211,6129398,6129696,6129982,6130749,6131465,6131656,6132025,6132236,6132507,6133193,6133418,6133571,6133918,6134081,6134340,6135879,6136600,6137370,6137642,6138600,6139438,6145368
CBG17597.1	6160493,6160673,6160759,6161261,6162847,6162970,6163096,6164568,6164907,6165022,6165319,6167137,6167308,6167683,6168334	6160535,6160721,6161058,6162666,6162900,6163020,6164407,6164843,6164953,6165146,6167082,6167188,6167600,6168246,6168380
CBG17601.1	6181469,6181864,6182085,6182396,6182665,6182951,6183150,6183500,6183884,6184112	6181650,6181911,6182134,6182436,6182708,6182997,6183403,6183788,6183930,6184158
CBG17603.1	6194697	6194741
CBG17604.1	6196554,6198467,6198647,6198803	6198392,6198513,6198694,6198843
CBG22322.1	6206566,6206878,6207721,6208683,6209291,6209523,6209679,6210059,6210617	6206698,6206997,6208586,6209100,6209352,6209568,6209856,6210106,6210669
CBG22322.2	6206566,6206878,6207721,6208683,6209523,6209679,6210059,6210617	6206698,6206997,6208586,6209100,6209568,6209856,6210106,6210669
CBG22322.3	6206566,6206878,6207721,6208683,6209291,6209523,6210059,6210617	6206698,6206997,6208586,6209100,6209352,6209568,6210106,6210669
CBG22322.4	6206566,6206878,6207721,6208683,6209523,6210059,6210617	6206698,6206997,6208586,6209100,6209568,6210106,6210669
CBG22322.5	6206566,6206878,6207721,6208683,6209291,6209523,6209803,6210059,6210617	6206698,6206997,6208586,6209100,6209352,6209568,6209856,6210106,6210669
CBG22325.1	6216148,6216502,6216674,6217102,6217294,6217493	6216211,6216548,6216725,6217145,6217340,6217537
CBG22326.1	6219345,6219645,6219804,6220188	6219391,6219692,6219848,6220381
CBG22329a.1	6226106,6235669,6235792,6235975,6236144	6235568,6235712,6235834,6236025,6238814
CBG22329b.1	6233141,6235669,6235792,6235975,6236144	6235568,6235712,6235834,6236025,6238814
CBG22676.1	16838153	16838204
CBG22681.1	16825834	16825886
CBG22682.1	16818351	16818402
CBG22683.1	16816744	16816796
CBG22684.1	16808745	16808797
CBG22685.1	16806707	16806753
CBG22687.1	16804041	16804084
CBG22688.1	16802050,16802853	16802094,16802900
CBG22688.2	16802050	16802094
CBG22690.1	16796573	16796625
CBG22691.1	16791961,16793185,16793535	16792295,16793446,16793579
CBG22692.1	16789422	16789469
CBG22694.1	16774133,16775396,16775607,16775917,16776023,16776297	16775097,16775442,16775656,16775960,16776068,16776342
CBG22695.1	16765336,16765986,16766892,16770888,16771063,16771661	16765385,16766507,16770627,16770940,16771438,16771708
CBG22701.1	16747726,16748333	16747770,16748814
CBG22702a.1	16744566,16744991	16744618,16745049
CBG22702b.1	16744991	16745049
CBG22703.1	16737472,16738324,16738475,16739436,16739703	16737518,16738372,16738986,16739486,16740476
CBG22705.1	16729514,16729651,16729877,16730075,16730346,16730728,16730888,16731040	16729558,16729697,16729920,16730126,16730389,16730770,16730928,16732758
CBG22707.1	16695324,16695738,16705066,16705891,16707111,16707253,16707413,16708866,16709144,16709543,16710629,16711063,16711476,16712566,16712721,16719429	16695475,16704954,16705718,16706999,16707169,16707301,16708647,16708930,16709338,16710481,16710894,16711407,16712384,16712612,16719244,16721348
CBG22709.1	16690526,16690640,16690893,16691085	16690574,16690787,16691010,16691353
CBG22710.1	16685063,16685218,16685382	16685064,16685342,16685383
CBG22711.1	16682938	16682983
CBG22712.1	16680940	16680994
CBG22713.1	16676884	16676981
CBG22716.1	16667830,16668095,16668442,16668719,16669543,16669722,16670124,16670287,16671759	16667957,16668321,16668486,16669350,16669621,16670022,16670167,16671631,16671807
CBG22717a.1	16666780	16666827
CBG22717b.1	16663406,16666780	16666541,16666827
CBG22718.1	16653030,16653177,16653353,16653781,16654039,16654796,16658201,16658482	16653097,16653224,16653469,16653823,16654588,16657843,16658263,16658528
CBG22719.1	16655063,16655184,16655402,16655578,16655694,16655891,16656152,16656463,16656664,16656768,16656955,16657006,16657087,16657395	16655103,16655224,16655446,16655619,16655756,16655980,16656233,16656512,16656707,16656812,16656998,16657007,16657128,16657450
CBG22724.1	16627397,16628007,16628382,16629178,16629322,16630583,16630991	16627931,16628282,16629090,16629219,16630071,16630626,16631034
CBG22725.1	16614279,16615451,16615609,16615781,16619539,16619858,16621079,16621224,16621465,16625466	16615413,16615499,16615698,16619385,16619697,16620990,16621133,16621382,16625314,16625667
CBG22727.1	16599179,16599479,16600084,16600447,16600976,16602651,16603013,16603192,16603428,16606053,16606511,16608875,16610106	16599348,16599945,16600135,16600774,16602282,16602867,16603085,16603261,16605908,16606419,16608697,16610034,16610149
CBG22728.1	16594486,16595723,16598149	16595589,16597962,16598549
CBG22730a.1	16583214,16583913,16584220,16584512,16584777,16585200,16585989,16586286,16586466,16587605,16587823,16588460,16589391,16589620	16583268,16583958,16584262,16584558,16584872,16585585,16586219,16586358,16586511,16587652,16588267,16588910,16589539,16590181
CBG22730b.1	16583214,16583913,16584220,16584512,16584777,16585200,16585989,16586286,16586466,16587605,16587823,16588460,16588741,16589391,16589620	16583268,16583958,16584262,16584558,16584872,16585585,16586219,16586358,16586511,16587652,16588267,16588617,16588910,16589539,16590181
CBG22731.1	16579814,16580042,16580269,16581564,16581778,16581976	16579859,16580109,16581320,16581611,16581824,16582027
CBG22732.1	16576524,16576666,16576910	16576568,16576802,16576955
CBG22733.1	16572679,16572826,16573082	16572724,16572984,16573126
CBG22737.1	16564111,16564733,16565047,16565609	16564194,16564780,16565513,16565610
CBG22739.1	16558742,16559076,16559866,16560216,16560520	16558807,16559765,16559919,16560262,16561280
CBG22741.1	16546379,16551174,16552229	16551039,16552079,16552316
CBG22741.2	16551174,16552229	16552079,16552316
CBG22742.1	16542575,16542733,16543151,16543417,16543714	16542694,16542867,16543191,16543418,16543760
CBG22745.1	16534665,16534841,16535031,16535361,16535635,16536471	16534714,16534884,16535160,16535403,16536391,16536515
CBG22746.1	16532082,16532301	16532129,16532451
CBG22747.1	16531197,16531532	16531362,16531579
CBG22748.1	16527860,16529025,16529250,16529921	16528843,16529070,16529293,16529965
CBG22749.1	16525522,16525714,16525977,16526579,16526730,16526936	16525564,16525766,16526501,16526627,16526777,16526979
CBG22750.1	16522086,16522768	16522352,16522818
CBG22753.1	16497179,16497856,16498095,16498260,16499598,16500515,16501093	16497550,16497915,16498138,16499470,16500369,16500955,16501434
